module_category	original_path	new_path	file_type	action	reason
association	/data03/karama/workflows/scripts/extract_gwas_tables.py		.py	copy	reusable script
qc	/data03/karama/workflows/scripts/extract_significant_snps.py		.py	copy	reusable script
association	/data03/karama/workflows/scripts/cross_trait_effects.py		.py	copy	reusable script
locus_merging	/data03/karama/workflows/scripts/merge_loci.py		.py	copy	reusable script
association	/data03/karama/workflows/scripts/generate_summary.py		.py	copy	reusable script
qc	/data03/karama/workflows/scripts/plot_wild_summary.py		.py	copy	reusable script
qc	/data03/karama/workflows/scripts/test_plot.py		.py	archive_duplicate	debug/temporary version
qc	/data03/karama/documents/wild_soybean_gwas_workflow.txt		.txt	skip	data file
qc	/data03/karama/documents/modified_oil_protein_ratio.txt		.txt	skip	data file
qc	/data03/karama/documents/gwas_mr_report.md		.md	copy	reusable script
association	/data03/karama/documents/gwas_skills_flow.md		.md	copy	reusable script
qc	/data03/karama/documents/plot_manhattan.py		.py	copy	reusable script
qc	/data03/karama/documents/plot_mr_forest.py		.py	copy	reusable script
regional_plot	/data03/karama/documents/plot_mr_scatter.py		.py	copy	reusable script
transforms	/data03/karama/documents/plot_genetic_correlation.py		.py	copy	reusable script
association	/data03/karama/documents/plot_comparison.py		.py	copy	reusable script
qc	/data03/karama/documents/plot_cultivated_manhattan.py		.py	copy	reusable script
transforms	/data03/karama/documents/extract_mr_results.py		.py	skip	result file
cross_trait	/data03/karama/documents/plot_cultivated_mr_forest.py		.py	copy	reusable script
ld_analysis	/data03/karama/documents/plot_cultivated_mr_scatter.py		.py	copy	reusable script
association	/data03/karama/documents/pics/IMAGE_DESCRIPTIONS.md		.md	copy	reusable script
qc	/data03/karama/documents/proteomic/DIA.txt		.txt	skip	data file
qc	/data03/karama/documents/proteomic/analysis.py		.py	copy	reusable script
transforms	/data03/karama/documents/proteomic/generate_manuscript.py		.py	copy	reusable script
transforms	/data03/karama/documents/proteomic/SUMMARY_OF_ANALYSIS.md		.md	copy	reusable script
regional_plot	/data03/karama/documents/proteomic/omics_agent.yml		.yml	copy	reusable script
transforms	/data03/karama/documents/proteomic/pics/mapping_report.txt		.txt	skip	data file
transforms	/data03/karama/documents/proteomic/pics/figure_legend.txt		.txt	skip	data file
transforms	/data03/karama/documents/proteomic/pics/Proteomics_Validation_Text.txt		.txt	skip	data file
qc	/data03/karama/documents/proteomic/output/proteomics_validation_analysis.py		.py	copy	reusable script
qc	/data03/karama/documents/proteomic/output/Proteomics_validation_text.txt		.txt	skip	data file
transforms	/data03/karama/documents/SNP_analyze/protein_significant.txt		.txt	skip	data file
transforms	/data03/karama/documents/SNP_analyze/oil_significant.txt		.txt	skip	data file
qc	/data03/karama/documents/SNP_analyze/cross_trait_analysis.py		.py	copy	reusable script
transforms	/data03/karama/documents/SNP_analyze/all_significant_snps.txt		.txt	skip	data file
significant_snps	/data03/karama/documents/SNP_analyze/cross_trait_snp_effects.txt		.txt	skip	data file
significant_snps	/data03/karama/documents/SNP_analyze/multi_trait_significant_snps.txt		.txt	skip	data file
transforms	/data03/karama/documents/SNP_analyze/100SW_significant.txt		.txt	skip	data file
association	/data03/karama/documents/SNP_analyze/summary_report.txt		.txt	skip	data file
significant_snps	/data03/karama/documents/SNP_analyze/create_beta_matrix.py		.py	copy	reusable script
significant_snps	/data03/karama/documents/SNP_analyze/cross_trait_beta_matrix.txt		.txt	skip	data file
qc	/data03/karama/documents/SNP_analyze/README.txt		.txt	skip	data file
significant_snps	/data03/karama/documents/SNP_analyze/prioritize_loci.py		.py	copy	reusable script
qc	/data03/karama/documents/SNP_analyze/extract_locus_stats.py		.py	copy	reusable script
qc	/data03/karama/documents/SNP_analyze/extract_locus_stats_v2.py		.py	archive_duplicate	debug/temporary version
significant_snps	/data03/karama/documents/SNP_analyze/final_analysis.py		.py	copy	reusable script
association	/data03/karama/documents/SNP_analyze/final_analysis_report.md		.md	copy	reusable script
locus_merging	/data03/karama/documents/SNP_analyze/test_fix.py		.py	archive_duplicate	debug/temporary version
coloc	/data03/karama/documents/SNP_analyze/test_script.py		.py	archive_duplicate	debug/temporary version
association	/data03/karama/documents/SNP_analyze/coloc/generate_coloc_summary.py		.py	copy	reusable script
association	/data03/karama/documents/SNP_analyze/coloc/coloc_summary.md		.md	copy	reusable script
qc	/data03/karama/documents/SNP_analyze_cultivated/analysis_index/gwas_files.txt		.txt	skip	data file
transforms	/data03/karama/documents/SNP_analyze_cultivated/SNP_analyze/sig_summary.txt		.txt	skip	data file
association	/data03/karama/documents/SNP_analyze_cultivated/SNP_analyze/analysis_summary.md		.md	copy	reusable script
